Dorsal;Nombre;Categoria;Borriol;Bassa;Useres;Torrosselles;Xodos;Banyadera;Sant Joan
2;Jose Angel FERNANDEZ JIMENEZ;;06:39;07:50;08:38;09:29;10:21;11:02;11:14
16;Abel CARRETERO ERNESTO;;06:40;07:51;08:38;09:30;10:24;11:07;11:20
20;Miguel ARSENIO;;06:40;07:53;08:40;09:32;10:27;11:11;11:24
12;Kevin VERMEULEN;;06:39;07:51;08:39;09:33;10:32;11:18;11:31
26;Genis PORQUERAS SIMO;;06:40;07:55;08:44;09:38;10:34;11:18;11:31
4;Julen CALVO VIGARA;;06:40;07:55;08:44;09:41;10:37;11:19;11:31
6;Victor DEL AGUILA PELLICER;;06:40;07:54;08:43;09:37;10:33;11:19;11:33
52;Jonatan FRIDOLFSSON;;06:40;07:54;08:42;09:36;10:34;11:19;11:33
28;Leonard MITRICA;;06:39;07:50;08:38;09:31;10:31;11:21;11:36
34;Eduard HERNANDEZ TEIXIDOR;M40 M;06:40;07:55;08:43;09:40;10:40;11:28;11:42
47;Albert GARCIA MONZO;;06:41;07:58;08:49;09:52;10:42;11:31;11:45
38;Thorsteinn Roy JOHANNSSON;;06:42;07:59;08:51;09:49;10:47;11:38;11:51
56;Adria GARCIA LLINARES;M35 M;06:42;08:01;08:54;09:50;10:50;11:37;11:51
30;Thorbergur JONSSON;M40 M;06:42;07:59;08:51;09:50;10:52;11:39;11:53
55;Esteban HERRERO GORRIZ;;06:42;07:59;08:52;09:52;10:51;11:38;11:53
763;Bruno DELTORO SABATER;;06:44;08:03;08:55;09:52;10:53;11:43;11:57
194;Javier CABRERO COMPANY;;06:42;08:01;08:54;09:54;10:55;11:44;11:59
333;Victor VILLA TEULER;;06:45;08:07;09:00;09:57;10:57;11:46;12:00
764;German MOLINA BELENGUER;;06:45;08:06;08:59;09:58;10:59;11:47;12:01
1758;Albert FERRER CAMAÑES;;06:43;08:02;08:56;09:56;10:57;11:48;12:03
1218;Ismael BACAS LOPEZ;;06:41;08:01;08:56;09:57;10:59;11:49;12:05
299;Ivan MARIN AIBAR;M40 M;06:44;08:07;09:00;10:00;11:02;11:51;12:05
13;Ines ASTRAIN MORENO;;06:44;08:05;08:58;09:58;10:59;11:51;12:07
63;Dario CARDONA FERNANDEZ;M40 M;06:46;08:09;09:01;10:01;11:06;11:59;12:13
549;Higinio GALLEGO PAVON;M45 M;06:46;08:10;09:07;10:09;11:12;12:03;12:20
1357;Jesus GAYA WHITE;;06:46;08:10;09:05;10:08;11:12;12:05;12:20
65;Julen OLAIZOLA IZAGUIRRE;M35 M;06:45;08:09;09:05;10:08;11:13;12:04;12:21
1345;Jonathan ROGLA ALTERMANN;M40 M;06:44;08:08;09:03;10:06;11:12;12:07;12:22
380;Jose JULIAN SALES;;06:45;08:08;09:03;10:04;11:11;12:07;12:23
381;Marc CASADO NEBOT;;06:46;08:09;09:04;10:04;11:11;12:07;12:23
600;Saul ROYO RICHART;M40 M;06:44;08:07;09:00;10:02;11:11;12:09;12:25
62;Adria CASANOVAS JIMENEZ;;06:46;08:15;09:13;10:15;11:19;12:11;12:25
1637;Adrian ARIAS MACHADO;;06:46;08:11;09:07;10:10;11:16;12:11;12:25
534;Manuel MOTA PALOMO;M40 M;06:46;08:09;09:04;10:06;11:14;12:09;12:26
631;Adria ESCRIHUELA VICENTE;M35 M;06:46;08:11;09:07;10:09;11:17;12:11;12:26
835;Nacho SAFONT FEMENIA;;06:46;08:08;09:03;10:02;11:07;12:08;12:26
1;Gemma ARENAS ALCAZAR;M45 F;06:46;08:10;09:07;10:11;11:19;12:11;12:27
1349;Xavi CASANOVAS PUIG;M35 M;06:43;08:05;09:01;10:08;11:18;12:12;12:28
909;Joaquin ARNAU MARTI;M45 M;06:48;08:13;09:10;10:13;11:19;12:13;12:29
987;Pierre MESLET;M40 M;06:47;08:14;09:13;10:16;11:21;12:14;12:29
15;Mireia PONS TORRES;;06:46;08:11;09:07;10:11;11:19;12:13;12:29
172;Sergio BELLES MONSERRAT;;06:46;08:11;09:07;10:11;11:20;12:13;12:30
171;Marcos BELLES LLOVET;;06:46;08:11;09:08;10:11;11:18;12:13;12:30
170;Leonardo GIL SAURA;;06:46;08:11;09:07;10:10;11:18;12:13;12:30
398;Guillem BELTRAN SEGARRA;;06:49;08:14;09:12;10:16;11:21;12:16;12:31
7;Sara-Rebekka LINDE;M40 F;06:46;08:15;09:14;10:20;11:26;12:18;12:33
424;Ion ANDREU VIGUERA;M35 M;06:48;08:15;09:12;10:18;11:25;12:20;12:36
49;Victor BERNAD BLASCO;M45 M;06:44;08:07;09:01;10:07;11:22;12:20;12:36
528;Antonio Vicente GALVAÑ VICENTE;;06:46;08:11;09:09;10:15;11:27;12:21;12:36
3;Mar PASTOR GARRIGA;;06:46;08:12;09:12;10:19;11:26;12:20;12:36
720;Alejandro CEBRIA TORRAT;M35 M;06:47;08:11;09:07;10:13;11:23;12:22;12:37
790;David GUIMERA VILA;M35 M;06:48;08:16;09:13;10:18;11:28;12:24;12:38
1229;Federico Esteban ARRIBAS CUTROPIA;M45 M;06:48;08:15;09:14;10:18;11:25;12:22;12:39
1348;Iain MANSON;M35 M;06:47;08:11;09:10;10:18;11:27;12:24;12:39
